housing_median_age,total_rooms,population,ocean_proximity,AGE,STAR,POPULATION_STATUS
21,1661,789,INLAND,YOUNG,5-STAR,MEDIUM
22,1236,615,INLAND,YOUNG,5-STAR,MEDIUM
21,1728,731,INLAND,YOUNG,5-STAR,MEDIUM
17,3145,1432,INLAND,YOUNG,7-STAR,OVER
13,4492,2093,INLAND,YOUNG,7-STAR,OVER
11,4577,1944,INLAND,YOUNG,7-STAR,OVER
10,6305,2597,INLAND,YOUNG,7-STAR,OVER
14,1821,769,INLAND,YOUNG,5-STAR,MEDIUM
9,3006,1102,INLAND,YOUNG,7-STAR,OVER
14,2925,1226,INLAND,YOUNG,5-STAR,OVER
19,2715,1301,INLAND,YOUNG,5-STAR,OVER
8,892,427,INLAND,YOUNG,3-STAR,SMALL
15,432,208,INLAND,YOUNG,3-STAR,SMALL
9,2598,796,INLAND,YOUNG,5-STAR,MEDIUM
13,1115,86,INLAND,YOUNG,5-STAR,SMALL
34,1988,36,INLAND,ADULT,5-STAR,SMALL
8,3417,1703,INLAND,YOUNG,7-STAR,OVER
12,1313,731,INLAND,YOUNG,5-STAR,MEDIUM
14,8396,3952,INLAND,YOUNG,7-STAR,OVER
17,2319,1126,INLAND,YOUNG,5-STAR,OVER
18,5928,2697,INLAND,YOUNG,7-STAR,OVER
13,5036,2243,INLAND,YOUNG,7-STAR,OVER
51,956,662,INLAND,OLD,3-STAR,MEDIUM
47,1314,1155,INLAND,OLD,5-STAR,OVER
36,607,483,INLAND,ADULT,3-STAR,SMALL
52,112,193,INLAND,OLD,3-STAR,SMALL
45,925,797,INLAND,ADULT,3-STAR,MEDIUM
43,1286,972,INLAND,ADULT,5-STAR,MEDIUM
46,1414,902,INLAND,OLD,5-STAR,MEDIUM
50,772,606,INLAND,OLD,3-STAR,MEDIUM
44,1960,1286,INLAND,ADULT,5-STAR,OVER
43,1763,1623,INLAND,ADULT,5-STAR,OVER
52,1377,1280,INLAND,OLD,5-STAR,OVER
45,1081,821,INLAND,ADULT,5-STAR,MEDIUM
39,1287,1386,INLAND,ADULT,5-STAR,OVER
20,1855,1091,INLAND,YOUNG,5-STAR,OVER
15,1461,924,INLAND,YOUNG,5-STAR,MEDIUM
35,2114,2050,INLAND,ADULT,5-STAR,OVER
31,1404,1515,INLAND,ADULT,5-STAR,OVER
35,853,1228,INLAND,ADULT,3-STAR,OVER
52,173,401,INLAND,OLD,3-STAR,SMALL
25,1717,1343,INLAND,YOUNG,5-STAR,OVER
41,1659,1391,INLAND,ADULT,5-STAR,OVER
33,3161,3530,INLAND,ADULT,7-STAR,OVER
52,610,406,INLAND,OLD,3-STAR,SMALL
25,2581,1642,INLAND,YOUNG,5-STAR,OVER
17,1276,927,INLAND,YOUNG,5-STAR,MEDIUM
21,1702,1347,INLAND,YOUNG,5-STAR,OVER
28,60,46,INLAND,ADULT,3-STAR,SMALL
43,355,233,INLAND,ADULT,3-STAR,SMALL
19,1719,1369,INLAND,YOUNG,5-STAR,OVER
29,1541,1007,INLAND,ADULT,5-STAR,OVER
25,1026,789,INLAND,YOUNG,5-STAR,MEDIUM
19,1334,1171,INLAND,YOUNG,5-STAR,OVER
15,1908,1383,INLAND,YOUNG,5-STAR,OVER
23,1731,1210,INLAND,YOUNG,5-STAR,OVER
28,1592,962,INLAND,ADULT,5-STAR,MEDIUM
52,314,178,INLAND,OLD,3-STAR,SMALL
22,354,530,INLAND,YOUNG,3-STAR,SMALL
41,1562,927,INLAND,ADULT,5-STAR,MEDIUM
35,1987,1233,INLAND,ADULT,5-STAR,OVER
17,5872,5034,INLAND,YOUNG,7-STAR,OVER
29,1745,1530,INLAND,ADULT,5-STAR,OVER
24,1240,1035,INLAND,YOUNG,5-STAR,OVER
38,1481,1543,INLAND,ADULT,5-STAR,OVER
34,1254,1056,INLAND,ADULT,5-STAR,OVER
25,3972,2863,INLAND,YOUNG,7-STAR,OVER
22,3247,4179,INLAND,YOUNG,7-STAR,OVER
46,1347,854,INLAND,OLD,5-STAR,MEDIUM
39,1553,1449,INLAND,ADULT,5-STAR,OVER
39,2290,1685,INLAND,ADULT,5-STAR,OVER
42,1236,946,INLAND,ADULT,5-STAR,MEDIUM
6,1926,965,INLAND,YOUNG,5-STAR,MEDIUM
19,2788,1365,INLAND,YOUNG,5-STAR,OVER
17,2438,1563,INLAND,YOUNG,5-STAR,OVER
13,2343,1347,INLAND,YOUNG,5-STAR,OVER
27,2845,1219,INLAND,ADULT,5-STAR,OVER
30,2437,1005,INLAND,ADULT,5-STAR,OVER
23,2097,911,INLAND,YOUNG,5-STAR,MEDIUM
25,556,249,INLAND,YOUNG,3-STAR,SMALL
31,843,453,INLAND,ADULT,3-STAR,SMALL
7,2461,1587,INLAND,YOUNG,5-STAR,OVER
9,1914,1116,INLAND,YOUNG,5-STAR,OVER
15,1713,766,INLAND,YOUNG,5-STAR,MEDIUM
26,2645,1660,INLAND,ADULT,5-STAR,OVER
9,1621,678,INLAND,YOUNG,5-STAR,MEDIUM
19,3972,1586,INLAND,YOUNG,7-STAR,OVER
7,2456,1350,INLAND,YOUNG,5-STAR,OVER
15,2246,1190,INLAND,YOUNG,5-STAR,OVER
32,755,681,INLAND,ADULT,3-STAR,MEDIUM
36,1432,836,INLAND,ADULT,5-STAR,MEDIUM
29,1243,836,INLAND,ADULT,5-STAR,MEDIUM
20,2512,1464,INLAND,YOUNG,5-STAR,OVER
33,1036,620,INLAND,ADULT,5-STAR,MEDIUM
6,1931,1344,INLAND,YOUNG,5-STAR,OVER
39,1237,638,INLAND,ADULT,5-STAR,MEDIUM
19,2546,1257,INLAND,YOUNG,5-STAR,OVER
31,834,616,INLAND,ADULT,3-STAR,MEDIUM
35,2080,1026,INLAND,ADULT,5-STAR,OVER
31,1551,1058,INLAND,ADULT,5-STAR,OVER
31,2214,1326,INLAND,ADULT,5-STAR,OVER
27,1226,706,INLAND,ADULT,5-STAR,MEDIUM
30,1694,1008,INLAND,ADULT,5-STAR,OVER
34,2263,1184,INLAND,ADULT,5-STAR,OVER
43,524,302,INLAND,ADULT,3-STAR,SMALL
30,1584,984,INLAND,ADULT,5-STAR,MEDIUM
32,1485,867,INLAND,ADULT,5-STAR,MEDIUM
35,1191,537,INLAND,ADULT,5-STAR,SMALL
6,1853,1397,INLAND,YOUNG,5-STAR,OVER
15,3291,1738,INLAND,YOUNG,7-STAR,OVER
41,1022,741,INLAND,ADULT,5-STAR,MEDIUM
34,1186,774,INLAND,ADULT,5-STAR,MEDIUM
33,662,607,INLAND,ADULT,3-STAR,MEDIUM
48,2059,834,INLAND,OLD,5-STAR,MEDIUM
51,2419,1284,INLAND,OLD,5-STAR,OVER
52,1827,855,INLAND,OLD,5-STAR,MEDIUM
41,1973,1107,INLAND,ADULT,5-STAR,OVER
46,2194,924,INLAND,OLD,5-STAR,MEDIUM
52,1853,764,INLAND,OLD,5-STAR,MEDIUM
52,1788,1156,INLAND,OLD,5-STAR,OVER
52,1792,1049,INLAND,OLD,5-STAR,OVER
52,2224,832,INLAND,OLD,5-STAR,MEDIUM
52,1185,635,INLAND,OLD,5-STAR,MEDIUM
52,377,530,INLAND,OLD,3-STAR,SMALL
46,2625,1368,INLAND,OLD,5-STAR,OVER
52,2408,1361,INLAND,OLD,5-STAR,OVER
47,1425,949,INLAND,OLD,5-STAR,MEDIUM
49,1175,982,INLAND,OLD,5-STAR,MEDIUM
43,2070,1925,INLAND,ADULT,5-STAR,OVER
50,1343,1063,INLAND,OLD,5-STAR,OVER
23,3800,3786,INLAND,YOUNG,7-STAR,OVER
35,1607,1407,INLAND,ADULT,5-STAR,OVER
41,1576,1567,INLAND,ADULT,5-STAR,OVER
40,2009,2219,INLAND,ADULT,5-STAR,OVER
43,1623,781,INLAND,ADULT,5-STAR,MEDIUM
43,1945,1492,INLAND,ADULT,5-STAR,OVER
35,2347,1676,INLAND,ADULT,5-STAR,OVER
52,2137,1194,INLAND,OLD,5-STAR,OVER
50,1325,811,INLAND,OLD,5-STAR,MEDIUM
51,1454,729,INLAND,OLD,5-STAR,MEDIUM
44,1818,1680,INLAND,ADULT,5-STAR,OVER
39,2233,2031,INLAND,ADULT,5-STAR,OVER
47,2236,1042,INLAND,OLD,5-STAR,OVER
39,4893,4749,INLAND,ADULT,7-STAR,OVER
39,1740,1098,INLAND,ADULT,5-STAR,OVER
50,1515,852,INLAND,OLD,5-STAR,MEDIUM
49,2331,1290,INLAND,OLD,5-STAR,OVER
42,2093,1621,INLAND,ADULT,5-STAR,OVER
36,912,842,INLAND,ADULT,3-STAR,MEDIUM
29,2077,1887,INLAND,ADULT,5-STAR,OVER
32,2072,2002,INLAND,ADULT,5-STAR,OVER
23,6403,3573,INLAND,YOUNG,7-STAR,OVER
11,4832,2190,INLAND,YOUNG,7-STAR,OVER
30,1548,886,INLAND,ADULT,5-STAR,MEDIUM
27,1691,869,INLAND,ADULT,5-STAR,MEDIUM
14,6202,5561,INLAND,YOUNG,7-STAR,OVER
39,1745,901,INLAND,ADULT,5-STAR,MEDIUM
11,3626,1819,INLAND,YOUNG,7-STAR,OVER
18,8099,4476,INLAND,YOUNG,7-STAR,OVER
28,2675,1392,INLAND,ADULT,5-STAR,OVER
34,1768,888,INLAND,ADULT,5-STAR,MEDIUM
34,1891,966,INLAND,ADULT,5-STAR,MEDIUM
11,5112,2487,INLAND,YOUNG,7-STAR,OVER
15,2376,1197,INLAND,YOUNG,5-STAR,OVER
16,2396,1338,INLAND,YOUNG,5-STAR,OVER
15,3045,1340,INLAND,YOUNG,7-STAR,OVER
17,2056,1259,INLAND,YOUNG,5-STAR,OVER
17,1415,861,INLAND,YOUNG,5-STAR,MEDIUM
9,1122,662,INLAND,YOUNG,5-STAR,MEDIUM
31,1746,1186,INLAND,ADULT,5-STAR,OVER
25,875,646,INLAND,YOUNG,3-STAR,MEDIUM
23,2128,1047,INLAND,YOUNG,5-STAR,OVER
24,1316,781,INLAND,YOUNG,5-STAR,MEDIUM
15,2175,1194,INLAND,YOUNG,5-STAR,OVER
24,4410,2362,INLAND,YOUNG,7-STAR,OVER
30,2427,1375,INLAND,ADULT,5-STAR,OVER
32,1962,1005,INLAND,ADULT,5-STAR,OVER
35,1129,474,INLAND,ADULT,5-STAR,SMALL
33,1145,508,INLAND,ADULT,5-STAR,SMALL
27,4049,2254,INLAND,ADULT,7-STAR,OVER
36,2507,1227,INLAND,ADULT,5-STAR,OVER
38,3804,2142,INLAND,ADULT,7-STAR,OVER
38,3065,1441,INLAND,ADULT,7-STAR,OVER
36,3616,1994,INLAND,ADULT,7-STAR,OVER
40,1411,609,INLAND,ADULT,5-STAR,MEDIUM
29,2554,2669,INLAND,ADULT,5-STAR,OVER
45,1315,666,INLAND,ADULT,5-STAR,MEDIUM
37,2185,1143,INLAND,ADULT,5-STAR,OVER
30,1610,1000,INLAND,ADULT,5-STAR,MEDIUM
52,2964,1114,INLAND,OLD,5-STAR,OVER
50,1818,737,INLAND,OLD,5-STAR,MEDIUM
41,2227,1129,INLAND,ADULT,5-STAR,OVER
43,2323,1144,INLAND,ADULT,5-STAR,OVER
52,2281,839,INLAND,OLD,5-STAR,MEDIUM
49,1749,705,INLAND,OLD,5-STAR,MEDIUM
48,1805,741,INLAND,OLD,5-STAR,MEDIUM
43,2341,890,INLAND,ADULT,5-STAR,MEDIUM
37,1965,796,INLAND,ADULT,5-STAR,MEDIUM
36,1370,812,INLAND,ADULT,5-STAR,MEDIUM
41,1441,646,INLAND,ADULT,5-STAR,MEDIUM
36,2252,1117,INLAND,ADULT,5-STAR,OVER
32,2867,1705,INLAND,ADULT,5-STAR,OVER
23,2168,1190,INLAND,YOUNG,5-STAR,OVER
30,3162,1660,INLAND,ADULT,7-STAR,OVER
8,2875,1718,INLAND,YOUNG,5-STAR,OVER
7,1932,1014,INLAND,YOUNG,5-STAR,OVER
5,3821,2179,INLAND,YOUNG,7-STAR,OVER
4,6102,3406,INLAND,YOUNG,7-STAR,OVER
8,3096,1454,INLAND,YOUNG,7-STAR,OVER
7,2232,1274,INLAND,YOUNG,5-STAR,OVER
9,1142,620,INLAND,YOUNG,5-STAR,MEDIUM
27,1510,847,INLAND,ADULT,5-STAR,MEDIUM
10,2067,845,INLAND,YOUNG,5-STAR,MEDIUM
24,1143,608,INLAND,YOUNG,5-STAR,MEDIUM
34,1649,919,INLAND,ADULT,5-STAR,MEDIUM
22,1970,1066,INLAND,YOUNG,5-STAR,OVER
17,1987,1152,INLAND,YOUNG,5-STAR,OVER
18,1422,702,INLAND,YOUNG,5-STAR,MEDIUM
38,1446,928,INLAND,ADULT,5-STAR,MEDIUM
20,1745,1093,INLAND,YOUNG,5-STAR,OVER
19,2020,1341,INLAND,YOUNG,5-STAR,OVER
26,1453,896,INLAND,ADULT,5-STAR,MEDIUM
33,1902,1168,INLAND,ADULT,5-STAR,OVER
14,3182,2298,INLAND,YOUNG,7-STAR,OVER
24,1961,1559,INLAND,YOUNG,5-STAR,OVER
22,1339,820,INLAND,YOUNG,5-STAR,MEDIUM
32,981,736,INLAND,ADULT,3-STAR,MEDIUM
19,2627,1295,INLAND,YOUNG,5-STAR,OVER
30,1233,620,INLAND,ADULT,5-STAR,MEDIUM
45,1270,598,INLAND,ADULT,5-STAR,SMALL
25,1270,1050,INLAND,YOUNG,5-STAR,OVER
48,1341,671,INLAND,OLD,5-STAR,MEDIUM
29,2205,1072,INLAND,ADULT,5-STAR,OVER
30,2288,1435,INLAND,ADULT,5-STAR,OVER
8,2580,1111,INLAND,YOUNG,5-STAR,OVER
4,4833,2088,INLAND,YOUNG,7-STAR,OVER
15,2563,1080,INLAND,YOUNG,5-STAR,OVER
11,2497,1101,INLAND,YOUNG,5-STAR,OVER
12,1488,675,INLAND,YOUNG,5-STAR,MEDIUM
9,3995,1691,INLAND,YOUNG,7-STAR,OVER
15,1387,638,INLAND,YOUNG,5-STAR,MEDIUM
16,1852,887,INLAND,YOUNG,5-STAR,MEDIUM
2,4055,1730,INLAND,YOUNG,7-STAR,OVER
4,4530,1804,INLAND,YOUNG,7-STAR,OVER
6,1891,969,INLAND,YOUNG,5-STAR,MEDIUM
15,1743,1011,INLAND,YOUNG,5-STAR,OVER
14,1876,1031,INLAND,YOUNG,5-STAR,OVER
14,4177,2300,INLAND,YOUNG,7-STAR,OVER
18,2536,1196,INLAND,YOUNG,5-STAR,OVER
8,3791,1424,INLAND,YOUNG,7-STAR,OVER
12,2272,840,INLAND,YOUNG,5-STAR,MEDIUM
12,2396,863,INLAND,YOUNG,5-STAR,MEDIUM
17,2273,700,INLAND,YOUNG,5-STAR,MEDIUM
14,2351,1128,INLAND,YOUNG,5-STAR,OVER
14,2982,1408,INLAND,YOUNG,5-STAR,OVER
17,3012,987,INLAND,YOUNG,7-STAR,MEDIUM
16,2868,1016,INLAND,YOUNG,5-STAR,OVER
17,2807,996,INLAND,YOUNG,5-STAR,MEDIUM
14,1087,365,INLAND,YOUNG,5-STAR,SMALL
28,2268,752,INLAND,ADULT,5-STAR,MEDIUM
25,3305,1149,INLAND,YOUNG,7-STAR,OVER
18,2789,937,INLAND,YOUNG,5-STAR,MEDIUM
10,2902,1200,INLAND,YOUNG,5-STAR,OVER
7,4139,1843,INLAND,YOUNG,7-STAR,OVER
8,1519,711,INLAND,YOUNG,5-STAR,MEDIUM
15,1924,848,INLAND,YOUNG,5-STAR,MEDIUM
15,2058,891,INLAND,YOUNG,5-STAR,MEDIUM
7,4907,2014,INLAND,YOUNG,7-STAR,OVER
12,782,292,INLAND,YOUNG,3-STAR,SMALL
8,3468,1604,INLAND,YOUNG,7-STAR,OVER
11,2596,1765,INLAND,YOUNG,5-STAR,OVER
22,1529,1543,INLAND,YOUNG,5-STAR,OVER
7,6434,2733,INLAND,YOUNG,7-STAR,OVER
17,2340,1174,INLAND,YOUNG,5-STAR,OVER
7,2289,1077,INLAND,YOUNG,5-STAR,OVER
9,2340,860,INLAND,YOUNG,5-STAR,MEDIUM
19,6789,2325,INLAND,YOUNG,7-STAR,OVER
10,5780,2712,INLAND,YOUNG,7-STAR,OVER
11,2754,1328,INLAND,YOUNG,5-STAR,OVER
25,2330,1215,INLAND,YOUNG,5-STAR,OVER
17,1560,709,INLAND,YOUNG,5-STAR,MEDIUM
15,3356,1232,INLAND,YOUNG,7-STAR,OVER
23,4358,1852,INLAND,YOUNG,7-STAR,OVER
22,4241,1929,INLAND,YOUNG,7-STAR,OVER
24,5377,2010,INLAND,YOUNG,7-STAR,OVER
33,3972,1324,INLAND,ADULT,7-STAR,OVER
43,1951,725,INLAND,ADULT,5-STAR,MEDIUM
38,2252,777,INLAND,ADULT,5-STAR,MEDIUM
24,3756,1586,INLAND,YOUNG,7-STAR,OVER
33,1670,528,INLAND,ADULT,5-STAR,SMALL
29,2806,1242,INLAND,ADULT,5-STAR,OVER
16,6101,3407,INLAND,YOUNG,7-STAR,OVER
16,2849,1508,INLAND,YOUNG,5-STAR,OVER
19,3244,1463,INLAND,YOUNG,7-STAR,OVER
35,1872,1054,INLAND,ADULT,5-STAR,OVER
35,1789,933,INLAND,ADULT,5-STAR,MEDIUM
24,3242,2764,INLAND,YOUNG,7-STAR,OVER
21,3235,1820,INLAND,YOUNG,7-STAR,OVER
24,3505,2098,INLAND,YOUNG,7-STAR,OVER
35,1012,633,INLAND,ADULT,5-STAR,MEDIUM
36,1650,660,INLAND,ADULT,5-STAR,MEDIUM
36,1582,761,INLAND,ADULT,5-STAR,MEDIUM
35,1474,709,INLAND,ADULT,5-STAR,MEDIUM
18,5822,3415,INLAND,YOUNG,7-STAR,OVER
35,2314,954,INLAND,ADULT,5-STAR,MEDIUM
33,3433,1806,INLAND,ADULT,7-STAR,OVER
38,1912,1131,INLAND,ADULT,5-STAR,OVER
43,2382,874,INLAND,ADULT,5-STAR,MEDIUM
39,2471,1118,INLAND,ADULT,5-STAR,OVER
45,1337,471,INLAND,ADULT,5-STAR,SMALL
35,1877,1155,INLAND,ADULT,5-STAR,OVER
34,2200,1243,INLAND,ADULT,5-STAR,OVER
27,2462,852,INLAND,ADULT,5-STAR,MEDIUM
33,1461,494,INLAND,ADULT,5-STAR,SMALL
34,2679,1141,INLAND,ADULT,5-STAR,OVER
31,2164,959,INLAND,ADULT,5-STAR,MEDIUM
26,1700,909,INLAND,ADULT,5-STAR,MEDIUM
19,1524,960,INLAND,YOUNG,5-STAR,MEDIUM
33,2260,966,INLAND,ADULT,5-STAR,MEDIUM
26,3654,1976,INLAND,ADULT,7-STAR,OVER
30,6117,2768,INLAND,ADULT,7-STAR,OVER
27,2258,1076,INLAND,ADULT,5-STAR,OVER
32,2463,1261,INLAND,ADULT,5-STAR,OVER
28,2857,1614,INLAND,ADULT,5-STAR,OVER
28,3257,1981,INLAND,ADULT,7-STAR,OVER
29,3494,1781,INLAND,ADULT,7-STAR,OVER
32,3461,1507,INLAND,ADULT,7-STAR,OVER
34,3426,1938,INLAND,ADULT,7-STAR,OVER
20,6257,2795,INLAND,YOUNG,7-STAR,OVER
24,3748,1827,INLAND,YOUNG,7-STAR,OVER
18,10862,5466,INLAND,YOUNG,7-STAR,OVER
25,2718,1257,INLAND,YOUNG,5-STAR,OVER
30,3308,1894,INLAND,ADULT,7-STAR,OVER
19,4643,4638,INLAND,YOUNG,7-STAR,OVER
25,1565,661,INLAND,YOUNG,5-STAR,MEDIUM
17,6932,3056,INLAND,YOUNG,7-STAR,OVER
28,1713,663,INLAND,ADULT,5-STAR,MEDIUM
25,5016,2133,INLAND,YOUNG,7-STAR,OVER
18,4164,1817,INLAND,YOUNG,7-STAR,OVER
22,2803,1234,INLAND,YOUNG,5-STAR,OVER
20,3214,1360,INLAND,YOUNG,7-STAR,OVER
19,3237,1378,INLAND,YOUNG,7-STAR,OVER
16,2360,1034,INLAND,YOUNG,5-STAR,OVER
17,3690,1888,INLAND,YOUNG,7-STAR,OVER
15,2793,1411,INLAND,YOUNG,5-STAR,OVER
14,4675,2235,INLAND,YOUNG,7-STAR,OVER
3,7520,2878,INLAND,YOUNG,7-STAR,OVER
3,13802,5226,INLAND,YOUNG,7-STAR,OVER
3,10425,4432,INLAND,YOUNG,7-STAR,OVER
15,1449,649,INLAND,YOUNG,5-STAR,MEDIUM
17,2236,992,INLAND,YOUNG,5-STAR,MEDIUM
20,1676,786,INLAND,YOUNG,5-STAR,MEDIUM
20,2655,1081,INLAND,YOUNG,5-STAR,OVER
15,2373,1280,INLAND,YOUNG,5-STAR,OVER
23,3532,1885,INLAND,YOUNG,7-STAR,OVER
25,2379,1482,INLAND,YOUNG,5-STAR,OVER
32,2623,1570,INLAND,ADULT,5-STAR,OVER
5,1087,623,INLAND,YOUNG,5-STAR,MEDIUM
15,2727,1228,INLAND,YOUNG,5-STAR,OVER
8,3602,1959,INLAND,YOUNG,7-STAR,OVER
14,3348,1584,INLAND,YOUNG,7-STAR,OVER
12,2144,1320,INLAND,YOUNG,5-STAR,OVER
19,2282,1034,INLAND,YOUNG,5-STAR,OVER
19,1648,557,INLAND,YOUNG,5-STAR,SMALL
28,1651,780,INLAND,ADULT,5-STAR,MEDIUM
19,1699,994,INLAND,YOUNG,5-STAR,MEDIUM
16,2627,1054,INLAND,YOUNG,5-STAR,OVER
15,946,550,INLAND,YOUNG,3-STAR,SMALL
7,2075,1040,INLAND,YOUNG,5-STAR,OVER
8,943,475,INLAND,YOUNG,3-STAR,SMALL
32,1098,726,INLAND,ADULT,5-STAR,MEDIUM
28,1868,898,INLAND,ADULT,5-STAR,MEDIUM
3,2029,1003,INLAND,YOUNG,5-STAR,OVER
4,2145,1024,INLAND,YOUNG,5-STAR,OVER
11,2455,1110,INLAND,YOUNG,5-STAR,OVER
2,2579,1133,INLAND,YOUNG,5-STAR,OVER
4,1262,622,INLAND,YOUNG,5-STAR,MEDIUM
13,2589,1356,INLAND,YOUNG,5-STAR,OVER
17,1897,1207,INLAND,YOUNG,5-STAR,OVER
15,3303,1687,INLAND,YOUNG,7-STAR,OVER
16,2668,1536,INLAND,YOUNG,5-STAR,OVER
13,1524,994,INLAND,YOUNG,5-STAR,MEDIUM
15,2892,1634,INLAND,YOUNG,5-STAR,OVER
7,2855,1748,INLAND,YOUNG,5-STAR,OVER
31,2576,1306,INLAND,ADULT,5-STAR,OVER
9,3712,1632,INLAND,YOUNG,7-STAR,OVER
13,1736,993,INLAND,YOUNG,5-STAR,MEDIUM
16,1551,1010,INLAND,YOUNG,5-STAR,OVER
15,2524,1207,INLAND,YOUNG,5-STAR,OVER
22,2456,1720,INLAND,YOUNG,5-STAR,OVER
5,2613,1490,INLAND,YOUNG,5-STAR,OVER
21,1260,583,INLAND,YOUNG,5-STAR,SMALL
15,2397,1258,INLAND,YOUNG,5-STAR,OVER
14,4872,2085,INLAND,YOUNG,7-STAR,OVER
19,1317,517,INLAND,YOUNG,5-STAR,SMALL
22,4126,1795,INLAND,YOUNG,7-STAR,OVER
42,1338,617,INLAND,ADULT,5-STAR,MEDIUM
20,2822,1372,INLAND,YOUNG,5-STAR,OVER
13,6135,2473,INLAND,YOUNG,7-STAR,OVER
19,3225,1760,INLAND,YOUNG,7-STAR,OVER
18,1284,621,INLAND,YOUNG,5-STAR,MEDIUM
20,1089,531,INLAND,YOUNG,5-STAR,SMALL
11,2510,1248,INLAND,YOUNG,5-STAR,OVER
29,1963,1208,INLAND,ADULT,5-STAR,OVER
37,1609,1173,INLAND,ADULT,5-STAR,OVER
10,1657,958,INLAND,YOUNG,5-STAR,MEDIUM
34,1759,899,INLAND,ADULT,5-STAR,MEDIUM
40,1195,1135,INLAND,ADULT,5-STAR,OVER
31,1671,1371,INLAND,ADULT,5-STAR,OVER
30,2370,1248,INLAND,ADULT,5-STAR,OVER
7,1761,974,INLAND,YOUNG,5-STAR,MEDIUM
42,1032,812,INLAND,ADULT,5-STAR,MEDIUM
21,1551,1519,INLAND,YOUNG,5-STAR,OVER
20,1815,1665,INLAND,YOUNG,5-STAR,OVER
32,1963,2052,INLAND,ADULT,5-STAR,OVER
6,1186,1135,INLAND,YOUNG,5-STAR,OVER
21,1834,1120,INLAND,YOUNG,5-STAR,OVER
19,3351,1578,INLAND,YOUNG,7-STAR,OVER
18,1802,945,INLAND,YOUNG,5-STAR,MEDIUM
25,1784,904,INLAND,YOUNG,5-STAR,MEDIUM
38,949,578,INLAND,ADULT,3-STAR,SMALL
37,1486,977,INLAND,ADULT,5-STAR,MEDIUM
24,2532,1564,INLAND,YOUNG,5-STAR,OVER
14,863,315,INLAND,YOUNG,3-STAR,SMALL
16,4199,2140,INLAND,YOUNG,7-STAR,OVER
16,2904,1467,INLAND,YOUNG,5-STAR,OVER
12,2980,1184,INLAND,YOUNG,5-STAR,OVER
15,1879,755,INLAND,YOUNG,5-STAR,MEDIUM
44,3042,335,INLAND,ADULT,7-STAR,SMALL
12,2255,1006,INLAND,YOUNG,5-STAR,OVER
22,2211,773,INLAND,YOUNG,5-STAR,MEDIUM
23,1881,64,INLAND,YOUNG,5-STAR,SMALL
34,1901,171,INLAND,ADULT,5-STAR,SMALL
15,3111,276,INLAND,YOUNG,7-STAR,SMALL
19,1616,187,INLAND,YOUNG,5-STAR,SMALL
17,2052,975,INLAND,YOUNG,5-STAR,MEDIUM
13,2813,1385,INLAND,YOUNG,5-STAR,OVER
13,3963,1905,INLAND,YOUNG,7-STAR,OVER
26,1922,1148,INLAND,ADULT,5-STAR,OVER
26,1874,1834,INLAND,ADULT,5-STAR,OVER
33,1485,1544,INLAND,ADULT,5-STAR,OVER
15,1070,1070,INLAND,YOUNG,5-STAR,OVER
25,831,947,INLAND,YOUNG,3-STAR,MEDIUM
19,1484,1296,INLAND,YOUNG,5-STAR,OVER
5,2353,2505,INLAND,YOUNG,5-STAR,OVER
34,864,579,INLAND,ADULT,3-STAR,SMALL
42,510,247,INLAND,ADULT,3-STAR,SMALL
13,1348,719,INLAND,YOUNG,5-STAR,MEDIUM
24,1302,693,INLAND,YOUNG,5-STAR,MEDIUM
17,1531,775,INLAND,YOUNG,5-STAR,MEDIUM
15,1371,1266,INLAND,YOUNG,5-STAR,OVER
32,1153,761,INLAND,ADULT,5-STAR,MEDIUM
36,2294,1430,INLAND,ADULT,5-STAR,OVER
28,1343,1331,INLAND,ADULT,5-STAR,OVER
18,1404,754,INLAND,YOUNG,5-STAR,MEDIUM
41,1749,1171,INLAND,ADULT,5-STAR,OVER
37,1054,879,INLAND,ADULT,5-STAR,MEDIUM
18,1425,753,INLAND,YOUNG,5-STAR,MEDIUM
28,1274,572,INLAND,ADULT,5-STAR,SMALL
18,2379,1638,INLAND,YOUNG,5-STAR,OVER
20,1490,1474,INLAND,YOUNG,5-STAR,OVER
14,3004,3535,INLAND,YOUNG,7-STAR,OVER
34,1440,1018,INLAND,ADULT,5-STAR,OVER
21,2106,867,INLAND,YOUNG,5-STAR,MEDIUM
33,1225,1065,INLAND,ADULT,5-STAR,OVER
33,587,730,INLAND,ADULT,3-STAR,MEDIUM
27,1388,1056,INLAND,ADULT,5-STAR,OVER
27,823,798,INLAND,ADULT,3-STAR,MEDIUM
43,1676,1056,INLAND,ADULT,5-STAR,OVER
33,1589,1102,INLAND,ADULT,5-STAR,OVER
13,1788,1652,INLAND,YOUNG,5-STAR,OVER
19,1733,911,INLAND,YOUNG,5-STAR,MEDIUM
28,1452,919,INLAND,ADULT,5-STAR,MEDIUM
29,1312,788,INLAND,ADULT,5-STAR,MEDIUM
17,2287,1330,INLAND,YOUNG,5-STAR,OVER
10,2842,1443,INLAND,YOUNG,5-STAR,OVER
42,2311,1347,INLAND,ADULT,5-STAR,OVER
33,1923,1205,INLAND,ADULT,5-STAR,OVER
42,2242,1359,INLAND,ADULT,5-STAR,OVER
22,1794,1127,INLAND,YOUNG,5-STAR,OVER
36,738,737,INLAND,ADULT,3-STAR,MEDIUM
